,_id,territory,lieu_id,territory,verified,typeAccount,compte activé,compte non validé,non lié,Niveau de validation des comptes
140,5a58c0c7c1797fe45e377336,75,172,75,False,INVITATION,0,0,0,0
141,5a58c0c7c1797fe45e377337,75,173,75,True,USER,1,0,0,1
142,5a58c0c7c1797fe45e377338,75,174,75,True,USER,1,0,0,1
143,5a58c0c7c1797fe45e377339,75,175,75,False,INVITATION,0,0,0,0
144,5a58c0c7c1797fe45e37733a,75,176,75,,,0,0,3,3
145,5a58c0c7c1797fe45e37733b,75,177,75,False,INVITATION,0,0,0,0
146,5a58c0c7c1797fe45e37733c,75,178,75,True,USER,1,0,0,1
147,5a58c0c7c1797fe45e37733d,75,179,75,False,INVITATION,0,0,0,0
148,5a58c0c7c1797fe45e37733e,75,180,75,True,USER,1,0,0,1
149,5a58c0c7c1797fe45e37733f,75,181,75,True,USER,1,0,0,1
150,5a58c0c7c1797fe45e377340,75,182,75,True,USER,1,0,0,1
151,5a58c0c7c1797fe45e377341,75,183,75,False,INVITATION,0,0,0,0
152,5a58c0c7c1797fe45e377343,75,185,75,True,USER,1,0,0,1
153,5a58c0c7c1797fe45e377346,75,188,75,True,USER,1,0,0,1
154,5a58c0c7c1797fe45e377348,75,190,75,True,USER,1,0,0,1
155,5a58c0c7c1797fe45e377349,75,191,75,True,USER,1,0,0,1
156,5a58c0c7c1797fe45e37734a,75,192,75,True,USER,1,0,0,1
157,5a58c0c7c1797fe45e37734b,75,193,75,True,USER,1,0,0,1
158,5a58c0c7c1797fe45e37734c,75,194,75,True,USER,1,0,0,1
159,5a58c0c7c1797fe45e37734d,75,195,75,True,USER,1,0,0,1
160,5a58c0c7c1797fe45e37734e,75,196,75,True,USER,1,0,0,1
161,5a58c0c7c1797fe45e37734f,75,197,75,True,USER,1,0,0,1
162,5a58c0c7c1797fe45e377350,75,198,75,True,USER,1,0,0,1
163,5a58c0c7c1797fe45e377351,75,199,75,True,USER,1,0,0,1
164,5a58c0c7c1797fe45e377352,75,200,75,True,USER,1,0,0,1
165,5a58c0c7c1797fe45e377353,75,201,75,True,USER,1,0,0,1
166,5a58c0c7c1797fe45e377354,75,202,75,True,USER,1,0,0,1
167,5a58c0c7c1797fe45e377355,75,203,75,True,USER,1,0,0,1
168,5a58c0c7c1797fe45e377356,75,204,75,True,USER,1,0,0,1
169,5a58c0c7c1797fe45e377357,75,205,75,True,USER,1,0,0,1
170,5a58c0c7c1797fe45e377358,75,206,75,False,INVITATION,0,0,0,0
171,5a58c0c7c1797fe45e377359,75,207,75,True,USER,1,0,0,1
172,5a58c0c7c1797fe45e37735b,75,209,75,True,USER,1,0,0,1
173,5a58c0c7c1797fe45e37735c,75,210,75,True,USER,1,0,0,1
174,5a58c0c7c1797fe45e37735d,75,211,75,True,USER,1,0,0,1
175,5a58c0c7c1797fe45e37735e,75,212,75,False,INVITATION,0,0,0,0
176,5a58c0c7c1797fe45e37735f,75,213,75,False,INVITATION,0,0,0,0
177,5a58c0c7c1797fe45e377360,75,214,75,False,INVITATION,0,0,0,0
178,5a58c0c7c1797fe45e377361,75,215,75,False,INVITATION,0,0,0,0
179,5a58c0c7c1797fe45e377362,75,216,75,True,USER,1,0,0,1
180,5a58c0c7c1797fe45e377363,75,217,75,False,INVITATION,0,0,0,0
181,5a58c0c7c1797fe45e377364,75,218,75,True,USER,1,0,0,1
182,5a58c0c7c1797fe45e377366,75,220,75,True,USER,1,0,0,1
183,5a58c0c7c1797fe45e377367,75,221,75,False,INVITATION,0,0,0,0
184,5a58c0c7c1797fe45e377368,75,222,75,False,INVITATION,0,0,0,0
185,5a58c0c7c1797fe45e37736a,75,224,75,False,INVITATION,0,0,0,0
186,5a58c0c7c1797fe45e37736b,75,225,75,False,INVITATION,0,0,0,0
187,5a58c0c7c1797fe45e37736c,75,226,75,False,INVITATION,0,0,0,0
188,5a58c0c7c1797fe45e37736d,75,227,75,False,INVITATION,0,0,0,0
189,5a58c0c7c1797fe45e37736e,75,228,75,False,INVITATION,0,0,0,0
190,5a58c0c7c1797fe45e37736f,75,229,75,False,INVITATION,0,0,0,0
191,5a58c0c7c1797fe45e377370,75,230,75,False,INVITATION,0,0,0,0
192,5a58c0c7c1797fe45e377371,75,231,75,False,INVITATION,0,0,0,0
193,5a58c0c7c1797fe45e377372,75,232,75,False,INVITATION,0,0,0,0
194,5a58c0c7c1797fe45e377373,75,233,75,False,INVITATION,0,0,0,0
195,5a58c0c7c1797fe45e377374,75,234,75,False,INVITATION,0,0,0,0
196,5a58c0c7c1797fe45e377375,75,235,75,False,INVITATION,0,0,0,0
197,5a58c0c7c1797fe45e377376,75,236,75,True,USER,1,0,0,1
198,5a58c0c7c1797fe45e377377,75,237,75,False,INVITATION,0,0,0,0
199,5a58c0c7c1797fe45e377378,75,238,75,False,INVITATION,0,0,0,0
