,index,_id,lieu_id,user,section,created_at,updatedAt,__v,new,old,userDatas,automation,noChanges,isCampaign,orgaId,orgaName,role,status,territoire
1547,47965,60d47e17a88132563f8c05f1,7490,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 12:44:07.321,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1548,47972,60d47e9ca88132563f8c05fc,4638,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 12:46:20.676,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1549,47976,60d47ee8a88132563f8c0602,10159,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 12:47:36.871,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,92
1550,47978,60d47f0da88132563f8c0605,11004,5fed84211108a407a01e19fc,tempMessage,2021-06-24,2021-06-24 12:48:13.428,0,"{'actif': True, 'dateDebut': datetime.datetime(2021, 7, 13, 0, 0), 'dateFin': datetime.datetime(2021, 7, 20, 0, 0), 'description': '<p>Fermeture exceptionnelle la semaine du 14 juillet. Mais permanence &nbsp;pour les nouveaux ou dépannage sans inscription &nbsp;de 9h à 12h</p>', 'name': 'permanence semaine du 14 juillet'}","{'actif': False, 'dateDebut': None, 'dateFin': None, 'description': None, 'name': None}","{'orgaId': '949', 'orgaName': 'Les Restos du Coeur', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,False,True,949,Les Restos du Coeur,OWNER,PRO,67
1551,47986,60d47ff6a88132563f8c0623,11343,60bf36aedcc0491fd973ce33,tempMessage,2021-06-24,2021-06-24 12:52:06.771,0,"{'actif': True, 'dateDebut': datetime.datetime(2021, 5, 17, 0, 0), 'dateFin': datetime.datetime(2021, 6, 30, 0, 0), 'description': 'En raison de la crise sanitaire, les repas sont uniquement à emporter.', 'name': 'Crise sanitaire'}","{'actif': True, 'dateDebut': datetime.datetime(2021, 5, 17, 0, 0), 'dateFin': datetime.datetime(2021, 6, 30, 0, 0), 'description': 'En raison de la crise sanitaire, les repas sont uniquement à emporter.', 'name': 'Crise sanitaire'}","{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,False,True,,,,ADMIN_SOLIGUIDE,06
1552,47989,60d48024a88132563f8c0628,11446,60cc72e7ac160c67202c80ec,tempMessage,2021-06-24,2021-06-24 12:52:52.688,0,,,"{'orgaId': '3319', 'orgaName': 'Diapason', 'role': 'OWNER', 'status': 'PRO', 'territory': '33'}",False,True,True,3319,Diapason,OWNER,PRO,33
1553,47998,60d48090a88132563f8c0636,10158,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 12:54:40.434,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,92
1554,48008,60d48158a88132563f8c0669,11487,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 12:58:00.479,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1555,48009,60d4815ea88132563f8c066a,11488,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 12:58:06.431,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1556,48014,60d4817ca88132563f8c0670,3661,5ffecd1b1108a407a01e1c7e,tempMessage,2021-06-24,2021-06-24 12:58:36.193,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,94
